period,total_rpo_usd_m,expected_next_12m_share_pct,share_precision,source_url,source_page
Q1 FY27,9205,50,management_rounded,https://investors.snowflake.com/files/doc_financials/2027/q2/Q2-FY2027-Investor-Presentation_vF.pdf,19
Q2 FY27,9004,54,management_rounded,https://investors.snowflake.com/files/doc_financials/2027/q2/Q2-FY2027-Investor-Presentation_vF.pdf,19
