period,product_revenue_usd_m,contracted_future_revenue_usd_m,nrr_pct,customers_over_1m,source_role
Q2 FY26,1090.496,6932,125,654,reported
Q3 FY26,1158.377,7881,125,688,reported
Q4 FY26,1226.631,9772,125,733,reported
Q1 FY27,1334.329,9205,126,780,reported
Q2 FY27,1491.861,9004,126,828,reported
